[INFO] [launch]: All log files can be found below /home/ruthhhs/.ros/log/2025-12-07-19-30-02-543678-ruthhhs-HP-Laptop-15-dy2xxx-3328
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [soccer_vision_node-1]: process started with pid [3341]
[soccer_vision_node-1] [INFO] [1765110603.274690752] [soccer_vision]: Soccer vision initialized | mode=dummy | ball=True | field=True
[soccer_vision_node-1] [INFO] [1765110618.293305905] [soccer_vision]: Soccer vision alive | dummy=True | balls=258 | field_lines=20 | goal_posts=257
[soccer_vision_node-1] [INFO] [1765110633.299175733] [soccer_vision]: Soccer vision alive | dummy=True | balls=553 | field_lines=20 | goal_posts=552
[soccer_vision_node-1] [INFO] [1765110648.280284426] [soccer_vision]: Soccer vision alive | dummy=True | balls=839 | field_lines=20 | goal_posts=838
[soccer_vision_node-1] [INFO] [1765110663.265361061] [soccer_vision]: Soccer vision alive | dummy=True | balls=1124 | field_lines=20 | goal_posts=1123
[soccer_vision_node-1] [INFO] [1765110678.292104042] [soccer_vision]: Soccer vision alive | dummy=True | balls=1406 | field_lines=20 | goal_posts=1405
[soccer_vision_node-1] [INFO] [1765110693.292728949] [soccer_vision]: Soccer vision alive | dummy=True | balls=1692 | field_lines=20 | goal_posts=1691
[soccer_vision_node-1] [INFO] [1765110708.272276583] [soccer_vision]: Soccer vision alive | dummy=True | balls=1985 | field_lines=20 | goal_posts=1984
[soccer_vision_node-1] [INFO] [1765110723.307155535] [soccer_vision]: Soccer vision alive | dummy=True | balls=2259 | field_lines=20 | goal_posts=2258
[soccer_vision_node-1] [INFO] [1765110738.275738764] [soccer_vision]: Soccer vision alive | dummy=True | balls=2505 | field_lines=20 | goal_posts=2504
[soccer_vision_node-1] [INFO] [1765110753.263509381] [soccer_vision]: Soccer vision alive | dummy=True | balls=2716 | field_lines=20 | goal_posts=2715
[soccer_vision_node-1] [INFO] [1765110768.287971613] [soccer_vision]: Soccer vision alive | dummy=True | balls=2942 | field_lines=20 | goal_posts=2941
[soccer_vision_node-1] [INFO] [1765110783.265274191] [soccer_vision]: Soccer vision alive | dummy=True | balls=3172 | field_lines=20 | goal_posts=3171
[soccer_vision_node-1] [INFO] [1765110798.262991597] [soccer_vision]: Soccer vision alive | dummy=True | balls=3399 | field_lines=20 | goal_posts=3398
[soccer_vision_node-1] [INFO] [1765110813.273820771] [soccer_vision]: Soccer vision alive | dummy=True | balls=3626 | field_lines=20 | goal_posts=3625
[soccer_vision_node-1] [INFO] [1765110828.263899049] [soccer_vision]: Soccer vision alive | dummy=True | balls=3849 | field_lines=20 | goal_posts=3848
[soccer_vision_node-1] [INFO] [1765110843.277613769] [soccer_vision]: Soccer vision alive | dummy=True | balls=4032 | field_lines=20 | goal_posts=4031
[soccer_vision_node-1] [INFO] [1765110858.277977793] [soccer_vision]: Soccer vision alive | dummy=True | balls=4210 | field_lines=20 | goal_posts=4209
[soccer_vision_node-1] [INFO] [1765110873.275804712] [soccer_vision]: Soccer vision alive | dummy=True | balls=4391 | field_lines=20 | goal_posts=4390
[soccer_vision_node-1] [INFO] [1765110888.290871687] [soccer_vision]: Soccer vision alive | dummy=True | balls=4592 | field_lines=20 | goal_posts=4591
[soccer_vision_node-1] [INFO] [1765110903.263105289] [soccer_vision]: Soccer vision alive | dummy=True | balls=4796 | field_lines=20 | goal_posts=4795
[soccer_vision_node-1] [INFO] [1765110918.264396247] [soccer_vision]: Soccer vision alive | dummy=True | balls=5009 | field_lines=20 | goal_posts=5008
